series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-05-28,14,76-77,0.185,0.21520000000000006,0.03020000000000006,False,False,metar_6h_group
KXHIGHNY,2026-05-28,15,76-77,0.04,0.10760000000000003,0.06760000000000002,False,False,metar_6h_group
KXHIGHNY,2026-05-28,16,76-77,0.135,0.0484,-0.08660000000000001,False,True,metar_6h_group
KXHIGHNY,2026-05-29,13,78-79,0.355,0.051189108910891054,-0.3038108910891089,False,False,hourly_snapshot
KXHIGHNY,2026-05-29,14,78-79,0.225,0.005199999999999982,-0.21980000000000002,False,False,metar_6h_group
KXHIGHNY,2026-05-29,15,78-79,0.10500000000000001,0.03342970297029696,-0.07157029702970305,False,False,hourly_snapshot
KXHIGHNY,2026-05-29,16,78-79,0.045,0.024529702970297034,-0.020470297029702964,False,False,hourly_snapshot
KXHIGHNY,2026-05-30,13,70-71,0.045,0.5341782178217822,0.4891782178217822,False,False,hourly_snapshot
KXHIGHNY,2026-05-30,13,68-69,0.94,0.17771089108910884,-0.7622891089108911,True,False,hourly_snapshot
KXHIGHNY,2026-05-30,14,70-71,0.045,0.5768514851485153,0.5318514851485152,False,False,hourly_snapshot
KXHIGHNY,2026-05-30,14,68-69,0.955,0.23866930693069308,-0.7163306930693069,True,False,hourly_snapshot
KXHIGHNY,2026-05-30,15,70-71,0.065,0.5932554455445557,0.5282554455445556,False,False,hourly_snapshot
KXHIGHNY,2026-05-30,15,68-69,0.945,0.2802376237623763,-0.6647623762376236,True,False,hourly_snapshot
KXHIGHNY,2026-05-30,16,70-71,0.075,0.594887128712871,0.519887128712871,False,False,hourly_snapshot
KXHIGHNY,2026-05-30,16,68-69,0.925,0.30149702970297027,-0.6235029702970298,True,False,hourly_snapshot
KXHIGHNY,2026-05-31,13,78-79,0.035,0.02638316831683165,-0.008616831683168354,False,False,hourly_snapshot
KXHIGHNY,2026-05-31,13,76-77,0.405,0.10369009900990107,-0.30130990099009897,False,False,hourly_snapshot
